symbol	Astrocyte	Microglia	MO	Pericyte	Neuron	OPC
Ptafr	1	265.153440339349	1	2.96241048504606	1	11.3556135467137
Crybb1	5.38063179285229	1836.09881482808	16.9462646983704	6.06600270935434	5.44215048061089	88.8667245928829
Nfkbid	6.19138439012812	562.727122719966	1	2.70515243972929	11.1439459179875	16.6476180971756
C1qc	4.98678846682565	4957.53161863022	31.1091916371661	39.1431899255909	11.9014484623576	245.901172377098
Lag3	3.60618031362707	1352.17605507815	9.27913770059458	3.22400535303554	6.14031640084363	69.5815632097341
C1qb	5.65793981269588	5292.56621395879	34.90072351706	47.0070441361499	9.83526840966586	262.113623361276
Cd37	1	891.381633351633	6.61860639002198	6.90736381269446	1.23789608896262	44.8923971919253
Slc2a5	1	615.54572694275	3.2657950278899	1	1.30946396853678	35.9974192935427
Tlr9	1	223.760314168442	1	1	1	11.7478255163721
Ltc4s	1.57556029203583	1087.17346593342	6.83219743837814	7.26792838751788	2.37458297266234	58.6864193715069
Trem2	2.58938424086725	2382.03218091374	19.4414965721809	24.4271558921486	5.64515231096945	116.159062459183
Sash3	1	169.036849063903	1	1.83140301691316	1	7.71374463801585
Mog	1	2.59410318466913	5752.93940640908	1	3.5874125698672	10.7738987069301
Mal	2.6248602797114	3.06943972917992	8608.82911207824	23.4421326145403	1	17.1858629085705
Mobp	1	8.5288585026359	8466.39288098613	1	1	35.4210340861089
Mbp	8.35840718538744	480.78269339933	317412.195787913	18.2269698762447	61.2201141083059	1223.98848871659
Cldn11	1	5.17862928871738	11277.9723253126	10.9700345246035	7.35101792923115	42.0869830730114
Opalin	1	1.67464500581011	898.30618164655	1	1	2.27197718968599
Plp1	20.7413235876931	18.2963829128071	34977.5465546715	8.0542717969717	28.61254320266	248.663624487538
